1st,2nd,3rd,4th,5th,Placement_activity,Gender,college_code,Fields_of_Study,scholarship
5.48,5.59,4.86,7.35,5.01,E,F,165,Art,0.0
7.92,8.11,6.5,8.98,6.6,D,M,115,Engineering,0.0
6.95,7.82,5.8,7.54,7.39,D,Female,115,Engineering,0.0
3.12,6.83,7.42,8.17,6.09,B,F,115,Public Relations and Administration,0.0
7.98,3.35,6.15,7.61,4.26,E,Female,241,Art,12630.21
3.86,6.13,4.82,8.23,8.31,B,Male,165,Art,0.0
5.29,7.74,6.97,3.67,4.15,D,Female,115,Engineering,0.0
7.85,4.09,8.55,8.15,8.71,A,Female,116,Economics,0.0
2.95,6.56,7.62,7.67,6.91,C,Female,115,Environmental Science and Health,10057.77
5.64,7.41,8.04,8.49,9.7,C,F,241,Environmental Science and Health,1224.62
6.32,3.39,6.25,4.54,4.87,B,F,241,Environmental Science and Health,0.0
8.01,7.96,5.81,4.43,9.29,D,Female,115,Environmental Science and Health,13225.14
8.38,6.05,4.87,8.96,4.25,D,F,241,Environmental Science and Health,0.0
3.34,6.17,3.81,7.37,5.4,D,F,165,Public Relations and Administration,7661.98
4.28,7.05,7.52,4.48,7.77,E,F,165,Environmental Science and Health,1773.54
5.51,6.01,8.04,5.24,9.69,C,M,165,Engineering,0.0
7.0,5.66,7.38,5.75,5.94,B,Male,165,Environmental Science and Health,8997.9
4.48,3.27,7.6,6.82,5.85,C,Male,116,Art,0.0
6.38,6.84,8.53,6.27,6.44,B,Female,165,Economics,0.0
6.36,3.57,5.41,6.6,9.47,D,Female,165,Environmental Science and Health,0.0
8.32,3.67,4.78,8.23,4.14,A,Female,165,Economics,0.0
7.16,5.91,5.54,8.22,8.72,E,F,116,Engineering,0.0
6.09,3.94,7.31,5.04,6.73,D,M,165,Aeronautics and Aviation Science,863.42
7.0,5.39,3.79,4.33,4.09,D,Female,165,Engineering,0.0
6.58,6.95,4.75,8.95,4.06,C,Male,165,Aeronautics and Aviation Science,0.0
3.6,4.34,7.32,5.67,4.64,C,M,241,Economics,0.0
7.73,5.98,4.38,6.34,7.69,A,M,116,Public Relations and Administration,0.0
6.0,8.06,8.52,8.13,8.46,D,Male,241,Aeronautics and Aviation Science,8257.03
6.22,5.66,4.34,4.82,7.95,C,Male,165,Art,0.0
5.15,6.89,5.23,5.02,8.43,C,M,116,Aeronautics and Aviation Science,10819.72
4.99,7.94,6.77,5.59,7.57,B,Male,115,Economics,0.0
5.75,6.44,4.34,4.64,5.05,B,F,116,Environmental Science and Health,0.0
8.36,7.71,5.43,8.71,9.29,C,Male,165,Economics,3171.2
2.9,7.63,7.61,8.84,9.59,C,F,165,Art,6536.69
7.83,4.79,7.77,7.53,4.24,E,M,116,Engineering,0.0
2.9,7.89,4.5,6.02,5.63,D,F,241,Environmental Science and Health,0.0
5.72,4.89,3.99,3.7,7.92,C,F,116,Economics,0.0
8.54,4.13,6.7,6.71,5.47,B,Female,116,Economics,0.0
5.73,5.94,4.96,7.93,6.53,B,Male,241,Environmental Science and Health,0.0
5.81,4.62,8.17,8.96,8.49,A,Female,165,Art,2293.83
5.39,6.23,3.62,5.07,4.25,D,Male,116,Art,1452.46
8.44,5.82,4.38,4.53,8.89,B,M,116,Engineering,0.0
5.24,7.68,4.04,3.8,4.33,B,F,116,Engineering,1801.47
6.36,8.12,7.47,7.9,4.9,C,Female,241,Economics,0.0
6.91,4.18,5.32,6.83,4.2,D,M,115,Public Relations and Administration,0.0
7.39,7.78,5.11,4.12,8.03,B,Female,115,Aeronautics and Aviation Science,0.0
3.66,4.11,5.19,6.78,4.5,C,F,241,Public Relations and Administration,0.0
7.04,4.78,7.35,4.28,4.92,E,Female,241,Environmental Science and Health,0.0
5.25,5.17,7.62,8.82,7.58,E,M,116,Engineering,5875.95
3.31,5.42,6.77,5.03,6.26,D,F,116,Economics,0.0
3.55,3.51,6.77,4.88,4.81,C,F,116,Economics,0.0
3.97,5.1,4.36,3.7,5.03,C,M,241,Aeronautics and Aviation Science,12430.62
8.8,7.55,3.91,7.13,5.75,B,Female,115,Public Relations and Administration,0.0
3.46,4.31,4.56,4.85,5.86,C,F,115,Economics,0.0
3.81,5.35,7.56,5.48,9.31,E,M,241,Aeronautics and Aviation Science,0.0
3.52,4.85,5.81,4.97,4.21,C,M,241,Economics,0.0
6.28,4.97,3.86,8.04,8.06,E,F,165,Engineering,0.0
3.66,4.7,4.15,7.16,7.59,D,Male,241,Public Relations and Administration,0.0
5.7,4.03,8.29,5.11,4.04,E,Female,241,Environmental Science and Health,0.0
6.93,4.07,6.88,4.43,8.8,C,Male,165,Environmental Science and Health,12105.58
8.32,3.34,6.28,3.79,9.66,A,M,165,Environmental Science and Health,0.0
7.69,7.9,6.9,7.17,4.84,C,F,165,Economics,0.0
4.71,7.71,5.79,5.17,8.83,D,F,115,Aeronautics and Aviation Science,0.0
8.8,7.53,8.64,3.8,4.59,B,M,165,Engineering,0.0
8.57,7.94,6.22,6.61,9.0,C,M,241,Economics,12213.14
3.53,6.9,7.93,4.24,7.17,C,F,165,Engineering,0.0
3.83,5.03,4.88,7.83,4.1,D,Female,241,Environmental Science and Health,0.0
3.41,6.6,4.53,4.09,8.37,D,Female,116,Aeronautics and Aviation Science,0.0
5.7,4.92,4.98,7.31,6.4,C,Male,116,Engineering,9064.48
4.42,4.6,5.11,6.63,5.88,B,M,165,Public Relations and Administration,0.0
8.78,5.46,4.38,7.71,4.27,C,Female,241,Environmental Science and Health,0.0
6.23,5.78,7.18,5.33,5.69,C,Female,165,Engineering,12861.63
4.02,7.32,5.25,3.76,5.49,A,Female,241,Engineering,12299.91
5.5,4.89,3.66,4.55,7.93,C,M,165,Public Relations and Administration,0.0
4.87,3.73,7.5,4.26,4.82,E,Male,241,Environmental Science and Health,0.0
6.86,5.04,5.92,8.07,9.2,C,Female,116,Art,0.0
4.82,7.81,7.84,6.45,6.91,E,Female,165,Economics,0.0
5.78,5.76,7.24,5.26,5.94,D,M,116,Engineering,0.0
3.03,4.45,7.83,3.63,9.57,A,Male,116,Engineering,14414.21
8.51,4.68,6.16,7.18,8.92,E,Male,165,Environmental Science and Health,0.0
5.23,6.54,6.45,4.19,8.69,C,F,165,Public Relations and Administration,0.0
6.45,3.55,4.34,8.16,6.98,B,M,165,Public Relations and Administration,0.0
5.65,7.52,6.39,3.65,4.13,C,Female,115,Public Relations and Administration,0.0
6.67,7.15,4.0,6.01,6.67,B,M,165,Engineering,14659.68
7.84,5.46,7.55,6.32,7.46,B,M,115,Engineering,10290.67
6.13,6.72,5.24,6.18,4.2,C,Male,116,Economics,1303.78
4.81,5.51,7.05,5.08,5.74,D,F,115,Environmental Science and Health,6484.45
7.97,3.69,3.51,6.93,9.22,C,Male,115,Aeronautics and Aviation Science,0.0
5.05,5.27,4.21,4.86,6.5,C,M,241,Economics,0.0
5.35,6.65,6.01,8.62,7.97,D,Male,165,Aeronautics and Aviation Science,0.0
6.77,3.85,4.89,8.25,6.22,B,Male,165,Art,13640.78
3.46,8.13,6.74,5.13,5.19,D,F,116,Aeronautics and Aviation Science,9661.51
5.17,4.1,6.58,8.63,8.95,C,F,241,Environmental Science and Health,0.0
8.9,4.52,4.42,6.79,4.87,C,Male,116,Public Relations and Administration,0.0
7.38,4.57,6.82,3.61,5.49,D,M,115,Environmental Science and Health,0.0
3.92,6.86,7.64,3.92,6.48,C,F,165,Economics,0.0
4.5,7.99,6.66,6.59,6.55,D,Male,115,Engineering,2338.77
3.96,7.02,4.37,4.37,5.35,B,M,165,Environmental Science and Health,0.0
4.57,5.26,5.91,5.3,8.38,D,F,165,Art,10133.21
5.23,5.73,4.32,7.58,4.08,C,Female,116,Economics,14635.94
3.31,7.36,6.97,6.06,7.71,E,Male,241,Aeronautics and Aviation Science,0.0
3.34,7.21,4.31,5.43,7.33,E,Female,116,Aeronautics and Aviation Science,4908.1
3.57,4.52,6.97,4.46,8.03,D,Female,116,Public Relations and Administration,0.0
5.08,3.66,3.81,5.17,6.25,C,Female,116,Engineering,0.0
5.07,4.42,5.51,6.45,5.78,B,Male,165,Aeronautics and Aviation Science,0.0
4.97,7.58,6.93,6.63,8.84,C,F,241,Engineering,0.0
6.13,5.1,5.44,7.63,4.7,B,F,116,Public Relations and Administration,0.0
8.24,4.22,7.66,6.89,4.68,C,F,115,Engineering,0.0
5.65,5.62,3.51,8.59,5.13,A,F,115,Engineering,10294.66
7.33,3.64,7.14,7.0,7.94,B,M,116,Art,0.0
7.35,6.57,6.03,7.9,7.79,B,Male,241,Engineering,733.83
2.98,7.42,4.42,3.69,8.96,B,F,241,Economics,0.0
7.37,6.64,5.85,6.16,8.92,C,Female,165,Environmental Science and Health,0.0
8.62,6.75,6.97,6.04,7.54,D,Male,115,Environmental Science and Health,0.0
6.58,4.04,4.81,5.74,9.16,C,M,115,Economics,0.0
4.48,5.52,5.98,8.22,5.34,D,Male,115,Public Relations and Administration,0.0
7.87,5.96,4.91,8.74,6.88,C,F,116,Engineering,0.0
3.6,5.76,3.55,5.02,5.83,C,Female,241,Economics,0.0
8.37,4.12,7.97,5.24,4.46,C,Female,165,Art,0.0
4.85,6.79,4.25,3.67,5.06,B,M,241,Engineering,0.0
8.5,7.89,4.66,4.17,7.39,D,Male,241,Engineering,6628.69
4.66,5.35,8.35,5.36,6.74,B,F,241,Public Relations and Administration,0.0
8.06,8.09,4.95,8.12,5.09,E,Male,116,Environmental Science and Health,0.0
3.87,6.75,7.01,8.18,7.38,B,Male,241,Economics,0.0
6.58,4.34,6.21,5.66,8.7,C,F,165,Art,0.0
3.94,5.07,5.46,4.93,5.17,C,F,241,Economics,0.0
8.77,8.04,6.48,8.02,6.45,A,F,165,Art,2972.3
5.03,6.49,4.94,7.71,4.61,D,Female,165,Environmental Science and Health,0.0
8.3,8.06,6.72,6.62,6.83,B,Male,116,Environmental Science and Health,12496.79
8.57,4.24,4.7,5.01,6.2,C,F,241,Environmental Science and Health,0.0
3.93,3.42,7.49,7.83,6.38,E,F,241,Economics,8624.39
8.41,6.5,6.68,4.81,8.06,B,F,116,Art,0.0
8.56,3.48,7.15,4.51,9.57,B,F,115,Public Relations and Administration,0.0
8.64,6.12,7.79,4.91,7.18,B,Male,241,Art,0.0
6.11,4.36,7.64,6.76,7.87,D,Female,116,Aeronautics and Aviation Science,1093.2
4.24,5.62,7.53,6.68,5.43,E,M,165,Aeronautics and Aviation Science,0.0
7.29,3.29,8.4,5.98,7.97,D,M,165,Public Relations and Administration,0.0
8.67,3.48,5.24,4.3,8.4,E,Female,116,Environmental Science and Health,0.0
7.34,8.13,6.76,8.94,8.54,C,Female,115,Engineering,0.0
4.29,6.78,6.45,6.91,9.39,C,Female,241,Engineering,0.0
8.45,6.62,7.67,7.89,5.48,C,F,241,Art,0.0
5.0,7.0,7.4,4.45,8.78,C,Female,116,Environmental Science and Health,10099.5
8.45,4.32,6.68,8.96,5.56,C,Male,165,Public Relations and Administration,416.4
7.77,6.4,4.45,4.18,5.13,D,Female,241,Engineering,5682.33
3.58,3.88,3.49,5.51,4.38,E,Male,165,Economics,0.0
4.62,5.58,8.3,8.4,5.11,D,Male,165,Public Relations and Administration,13363.04
4.69,8.08,7.47,7.38,6.82,D,F,115,Engineering,12335.24
3.19,7.54,3.64,9.01,6.94,B,Male,165,Engineering,0.0
6.18,7.97,6.7,4.98,6.82,B,M,165,Economics,9487.23
8.1,5.88,4.36,6.76,5.28,A,Male,241,Aeronautics and Aviation Science,395.22
7.96,4.58,6.86,6.17,6.14,C,Male,116,Public Relations and Administration,7637.04
8.66,7.27,5.43,7.63,4.07,A,Female,115,Environmental Science and Health,0.0
5.48,4.05,5.8,7.2,4.61,B,Female,165,Art,0.0
4.33,3.28,8.26,5.81,5.97,A,Female,165,Art,0.0
3.65,5.63,6.48,7.21,4.64,C,Male,241,Engineering,0.0
8.13,7.48,4.85,8.04,5.7,C,Female,115,Public Relations and Administration,11155.48
3.24,4.58,4.43,4.7,8.0,B,M,165,Aeronautics and Aviation Science,5100.55
3.54,6.53,6.89,6.01,9.19,E,M,115,Engineering,0.0
4.51,4.9,6.93,4.26,5.07,E,Male,241,Environmental Science and Health,6612.18
6.8,3.93,7.78,8.99,8.75,C,M,241,Art,11678.82
3.62,5.97,4.59,3.87,6.31,C,Female,115,Environmental Science and Health,0.0
6.18,5.45,6.13,5.99,7.67,B,M,116,Engineering,0.0
8.82,5.76,7.99,4.97,7.23,E,Female,165,Economics,0.0
3.42,7.53,7.03,9.01,7.76,A,Female,165,Economics,5630.94
7.12,7.72,4.27,7.57,5.31,C,Male,116,Engineering,0.0
5.71,7.25,5.79,8.77,9.01,E,F,241,Engineering,8068.47
6.47,4.78,5.21,8.64,4.55,C,Female,165,Economics,0.0
4.73,6.63,5.88,7.63,5.23,E,F,115,Environmental Science and Health,0.0
4.6,4.89,4.98,3.73,8.79,D,F,165,Economics,0.0
7.8,5.91,6.26,4.8,5.43,C,M,165,Environmental Science and Health,0.0
3.49,4.3,3.94,5.05,5.56,E,Male,241,Engineering,0.0
6.02,8.13,7.8,4.13,5.57,C,F,115,Environmental Science and Health,0.0
7.64,3.76,4.05,4.8,4.71,A,M,115,Public Relations and Administration,0.0
8.47,7.72,3.78,8.85,9.53,D,Male,115,Engineering,3997.13
5.62,4.26,5.47,8.66,7.35,B,M,116,Public Relations and Administration,0.0
4.55,6.17,5.56,7.46,8.15,D,Female,115,Environmental Science and Health,0.0
8.73,4.6,4.42,4.04,7.15,C,F,115,Engineering,0.0
6.26,7.35,6.94,4.52,9.16,A,Female,165,Aeronautics and Aviation Science,0.0
4.47,6.42,7.62,5.28,5.29,D,M,165,Economics,2302.28
5.63,6.31,8.32,6.06,8.83,D,Female,241,Economics,2647.31
5.33,7.76,8.36,8.06,6.68,C,Female,116,Environmental Science and Health,0.0
5.25,3.44,6.39,5.27,8.39,D,F,165,Public Relations and Administration,10101.79
3.45,5.22,8.11,6.44,7.94,D,Female,115,Public Relations and Administration,0.0
7.51,7.55,7.42,7.47,9.2,C,F,165,Economics,0.0
3.38,3.45,3.54,5.63,8.62,D,Male,165,Engineering,425.92
3.43,7.17,5.33,3.51,7.57,C,Male,116,Engineering,0.0
3.55,3.45,3.63,4.43,7.66,B,Male,165,Environmental Science and Health,0.0
6.53,4.5,6.68,4.95,5.23,D,Male,115,Engineering,0.0
3.96,5.45,3.57,8.79,5.06,A,Female,116,Aeronautics and Aviation Science,0.0
4.48,7.71,4.04,8.5,8.12,D,Male,115,Engineering,12471.62
8.36,3.68,4.17,8.44,6.59,B,M,115,Environmental Science and Health,0.0
5.9,7.74,3.85,4.9,5.44,D,Male,241,Engineering,5230.34
4.84,7.82,4.56,4.51,4.64,C,F,165,Economics,0.0
5.2,4.16,6.3,5.64,7.56,C,Male,115,Engineering,261.3
8.3,3.96,8.16,6.02,8.24,B,F,165,Public Relations and Administration,13278.5
5.68,7.07,4.05,4.94,9.63,C,Male,241,Economics,6546.61
3.34,4.58,5.8,6.86,9.36,E,Male,115,Aeronautics and Aviation Science,1254.44
8.21,6.06,5.74,8.87,7.32,C,F,241,Engineering,0.0
6.51,7.65,5.1,8.19,4.08,D,M,115,Aeronautics and Aviation Science,0.0
8.6,6.16,4.35,7.41,6.64,C,Male,116,Engineering,0.0
6.78,4.61,3.5,6.9,5.43,B,M,165,Engineering,0.0
3.92,5.51,4.34,5.1,4.43,B,M,241,Public Relations and Administration,0.0
3.31,3.74,3.89,5.68,6.59,C,M,116,Engineering,0.0
6.04,6.6,6.48,4.24,5.88,C,Male,165,Aeronautics and Aviation Science,5361.08
5.4,5.93,5.54,4.76,6.49,C,Female,116,Economics,0.0
6.55,4.39,6.11,7.95,8.23,D,Female,165,Environmental Science and Health,0.0
6.25,4.43,8.6,6.32,5.27,D,Male,115,Environmental Science and Health,0.0
7.2,5.95,7.0,7.3,8.59,C,Female,115,Engineering,0.0
5.34,3.98,6.41,7.6,7.46,D,Male,116,Economics,0.0
5.39,5.67,7.88,7.64,9.55,B,Male,116,Engineering,0.0
4.53,7.0,6.44,5.28,8.94,D,Female,115,Aeronautics and Aviation Science,0.0
7.61,7.54,6.7,8.67,7.32,D,F,165,Environmental Science and Health,12077.05
4.54,3.99,5.11,7.24,8.91,C,M,241,Environmental Science and Health,11134.47
5.56,7.38,6.17,8.32,7.5,E,Female,115,Art,0.0
4.16,3.67,7.42,7.99,4.52,E,Male,115,Art,0.0
5.41,5.36,8.67,8.82,7.56,B,M,241,Economics,0.0
2.9,3.7,8.42,4.37,5.6,C,Male,116,Aeronautics and Aviation Science,8719.67
6.31,7.6,4.76,5.28,7.13,D,Male,116,Environmental Science and Health,12440.3
6.84,6.95,3.92,7.21,8.97,C,M,241,Engineering,0.0
3.84,5.36,5.73,7.57,7.35,C,M,115,Engineering,0.0
6.92,3.51,8.61,3.6,6.39,D,Male,116,Environmental Science and Health,15050.96
7.72,5.06,5.76,5.7,7.99,D,Female,115,Public Relations and Administration,0.0
6.59,3.94,5.4,8.93,5.19,C,F,165,Public Relations and Administration,4434.43
8.11,3.89,8.11,3.73,8.53,D,Male,241,Engineering,0.0
8.81,5.31,6.26,4.98,9.65,C,Male,241,Engineering,2612.37
2.91,6.93,5.34,8.35,6.29,C,M,165,Environmental Science and Health,0.0
7.66,3.38,6.32,8.65,6.77,D,Male,165,Environmental Science and Health,0.0
3.1,4.15,6.38,5.51,8.82,D,F,165,Aeronautics and Aviation Science,0.0
8.94,4.72,5.13,4.21,5.4,C,F,115,Art,2210.42
6.45,4.04,7.11,3.94,5.12,C,F,116,Public Relations and Administration,1994.95
3.9,3.33,3.58,4.7,6.05,C,Female,116,Environmental Science and Health,0.0
6.09,4.16,6.99,7.82,4.64,D,Male,165,Environmental Science and Health,0.0
4.68,7.18,4.48,8.86,8.46,A,Male,115,Engineering,0.0
7.39,5.78,8.52,6.58,4.17,C,M,116,Economics,0.0
6.57,6.61,3.89,5.57,5.96,B,Male,165,Environmental Science and Health,0.0
7.61,4.28,5.92,7.45,8.98,B,M,165,Economics,0.0
3.88,6.1,4.16,4.42,5.47,D,M,116,Environmental Science and Health,2883.29
7.73,4.23,5.47,4.68,9.46,C,F,165,Public Relations and Administration,0.0
3.37,3.96,5.52,6.53,8.84,C,Female,116,Public Relations and Administration,0.0
3.09,6.51,3.76,6.34,8.41,E,Female,241,Economics,0.0
3.84,5.99,3.85,4.61,7.62,E,M,116,Aeronautics and Aviation Science,0.0
7.04,6.03,4.09,7.65,4.4,B,Male,115,Engineering,0.0
5.07,5.66,6.5,8.1,8.91,D,F,241,Art,0.0
4.11,7.43,7.26,6.87,4.64,D,F,116,Engineering,0.0
8.91,6.28,4.68,5.93,8.62,C,M,116,Environmental Science and Health,0.0
7.83,4.71,7.44,5.79,5.41,D,M,116,Environmental Science and Health,7227.47
6.8,4.17,8.32,5.7,6.15,D,Male,116,Public Relations and Administration,0.0
5.0,7.75,6.57,7.61,5.0,E,F,115,Aeronautics and Aviation Science,0.0
7.66,6.99,6.4,4.15,6.11,D,Female,115,Economics,0.0
4.76,4.16,3.99,6.09,5.41,E,Male,165,Engineering,0.0
8.95,4.63,3.98,8.83,4.99,D,F,115,Engineering,0.0
7.23,7.44,4.04,6.72,5.11,C,Female,115,Environmental Science and Health,0.0
7.4,3.75,4.56,5.49,8.07,D,Male,241,Environmental Science and Health,0.0
8.51,5.11,3.81,3.81,6.13,C,M,165,Engineering,0.0
7.85,7.87,5.29,6.03,6.75,D,Female,116,Aeronautics and Aviation Science,9538.16
7.87,5.24,5.27,4.89,7.79,B,F,241,Economics,0.0
6.76,7.47,5.76,8.02,7.47,B,Female,165,Aeronautics and Aviation Science,0.0
2.93,4.09,4.44,4.43,6.66,E,Female,241,Economics,0.0
3.52,4.47,3.97,4.62,5.41,C,Male,116,Art,6298.05
3.1,7.12,8.2,4.69,6.03,D,M,116,Public Relations and Administration,14672.92
4.16,4.41,7.25,4.44,8.24,C,F,116,Art,0.0
6.13,5.43,8.23,8.45,4.8,E,F,241,Economics,0.0
4.44,8.18,5.82,7.25,8.74,A,Male,241,Aeronautics and Aviation Science,0.0
6.67,7.89,4.49,5.77,8.41,E,M,116,Engineering,13913.33
7.19,5.38,8.26,5.71,8.9,C,F,116,Environmental Science and Health,0.0
8.16,4.52,8.44,8.49,8.72,D,M,116,Environmental Science and Health,0.0
6.57,5.91,3.7,8.83,7.38,B,F,241,Art,2377.26
6.37,5.94,7.5,4.13,5.85,A,F,116,Art,682.44
5.51,4.74,6.66,6.3,5.48,B,Female,116,Economics,12377.45
4.41,5.23,7.42,6.73,7.91,B,M,241,Public Relations and Administration,0.0
5.33,5.79,6.65,5.58,7.35,B,F,116,Engineering,0.0
5.69,4.23,5.42,8.99,7.29,B,M,116,Environmental Science and Health,0.0
4.43,3.66,7.76,4.14,4.88,E,M,241,Economics,0.0
5.06,4.0,4.79,6.36,5.27,C,Female,241,Engineering,7425.05
3.23,4.55,6.05,6.69,9.55,D,M,115,Economics,10169.32
5.96,8.08,4.67,5.74,6.9,B,Male,115,Environmental Science and Health,0.0
7.42,5.12,8.12,6.93,5.74,E,M,115,Art,0.0
7.47,3.46,4.46,8.55,5.89,C,M,241,Engineering,0.0
6.74,6.29,3.94,8.0,8.34,B,F,115,Aeronautics and Aviation Science,0.0
4.0,8.13,3.9,5.73,8.8,D,Female,115,Engineering,5703.3
6.21,6.53,6.32,6.91,5.33,C,Female,241,Environmental Science and Health,8096.25
8.1,7.3,4.78,7.92,8.56,C,Male,115,Economics,335.08
3.0,4.71,6.99,7.79,9.11,C,Female,241,Economics,0.0
7.11,6.98,4.07,8.62,7.46,C,Male,241,Aeronautics and Aviation Science,2030.57
8.76,6.16,5.35,6.92,7.73,C,F,116,Aeronautics and Aviation Science,10641.98
3.52,4.53,3.81,5.35,9.69,C,F,165,Economics,0.0
3.63,5.08,5.02,6.37,5.77,D,M,116,Engineering,0.0
4.33,7.78,4.55,5.4,6.79,B,Male,165,Engineering,2561.12
8.66,7.0,7.43,6.68,4.98,C,M,115,Engineering,0.0
5.74,5.34,3.61,5.46,4.83,B,M,115,Engineering,11794.07
6.87,5.79,7.13,5.04,6.0,B,Male,241,Public Relations and Administration,14518.56
8.1,6.48,8.6,3.65,6.35,C,Female,115,Aeronautics and Aviation Science,0.0
8.07,6.5,8.24,4.42,4.68,B,M,116,Environmental Science and Health,7499.82
3.0,5.5,7.93,4.68,6.42,B,Female,165,Economics,0.0
8.26,8.24,5.6,7.99,6.4,C,M,116,Environmental Science and Health,15134.42
5.73,3.67,8.2,3.92,4.32,C,M,115,Aeronautics and Aviation Science,0.0
3.73,7.62,8.33,7.32,8.12,B,Female,241,Public Relations and Administration,5176.48
6.83,6.5,6.89,6.76,5.12,C,Female,115,Aeronautics and Aviation Science,0.0
5.88,3.69,4.11,6.33,5.24,D,Female,241,Economics,0.0
4.0,7.52,6.55,8.02,8.52,C,F,165,Public Relations and Administration,0.0
8.21,6.87,6.86,6.24,4.65,C,Female,165,Aeronautics and Aviation Science,0.0
3.53,5.94,4.15,4.62,7.35,C,F,165,Engineering,0.0
5.11,4.42,6.61,5.31,5.09,E,M,115,Environmental Science and Health,0.0
7.12,3.71,6.34,8.75,4.39,C,M,165,Environmental Science and Health,0.0
4.64,5.64,4.86,4.02,8.54,C,F,116,Environmental Science and Health,0.0
4.91,3.96,6.92,6.03,5.0,A,F,115,Environmental Science and Health,0.0
5.44,6.71,8.48,6.4,9.41,C,Female,115,Environmental Science and Health,0.0
3.36,7.71,7.33,7.63,4.29,C,M,115,Engineering,0.0
7.51,6.75,5.41,7.79,5.37,B,Female,241,Environmental Science and Health,0.0
8.74,5.48,5.81,4.62,8.25,D,F,116,Environmental Science and Health,0.0
8.25,6.77,3.92,4.81,4.45,C,M,165,Environmental Science and Health,0.0
7.96,7.81,6.8,5.21,9.12,A,M,241,Environmental Science and Health,0.0
4.53,4.81,5.66,6.92,5.43,D,Female,116,Engineering,0.0
6.52,7.02,6.67,5.94,5.4,C,F,165,Engineering,0.0
6.39,4.87,3.82,5.1,7.65,D,Male,241,Art,0.0
6.51,3.34,5.7,6.03,5.0,B,M,165,Aeronautics and Aviation Science,14825.88
5.9,5.11,5.03,5.98,6.39,D,Male,116,Art,14560.0
6.59,3.39,5.94,4.83,8.37,C,Male,241,Economics,0.0
3.43,6.9,4.62,8.09,7.43,D,F,116,Engineering,0.0
4.67,4.1,6.75,5.81,5.56,D,F,241,Engineering,0.0
6.26,4.39,3.97,6.61,9.64,B,Female,165,Engineering,0.0
7.0,7.79,5.62,6.58,8.93,D,Female,241,Engineering,7191.11
5.46,5.82,4.64,4.32,8.14,D,Male,115,Aeronautics and Aviation Science,0.0
6.9,6.71,7.04,6.79,7.4,E,F,116,Economics,0.0
6.41,5.66,5.9,5.3,6.3,B,Female,241,Environmental Science and Health,0.0
3.02,4.69,4.32,6.73,5.35,C,M,241,Economics,0.0
5.11,6.83,7.71,5.7,4.36,C,F,165,Art,1829.0
6.99,5.43,5.66,8.8,5.75,D,M,115,Economics,3026.12
8.48,5.04,3.94,5.26,7.63,C,M,116,Art,0.0
6.39,3.41,5.27,3.92,4.91,A,Male,115,Engineering,0.0
2.95,5.83,6.52,4.14,8.0,C,F,115,Art,0.0
8.7,4.01,5.59,8.78,6.1,E,Female,116,Environmental Science and Health,4613.99
8.3,4.94,4.42,8.04,9.52,E,M,165,Environmental Science and Health,0.0
3.18,5.2,5.83,3.79,4.67,D,F,241,Aeronautics and Aviation Science,0.0
4.96,4.26,8.5,7.6,9.33,C,Male,241,Economics,3373.83
8.83,3.76,5.12,5.33,5.83,B,Female,116,Engineering,0.0
7.24,3.82,8.25,5.4,9.01,B,Male,241,Engineering,12620.1
6.37,6.88,6.76,7.96,4.76,C,Female,165,Economics,0.0
6.65,7.11,4.39,5.21,5.37,A,M,116,Engineering,0.0
4.48,5.02,6.49,5.6,4.06,C,M,241,Environmental Science and Health,0.0
5.97,4.79,3.53,8.11,4.28,E,F,241,Engineering,0.0
5.84,7.59,6.53,4.83,5.17,B,F,115,Aeronautics and Aviation Science,0.0
3.38,7.73,6.97,6.33,4.19,D,Male,115,Aeronautics and Aviation Science,7639.92
5.41,3.6,5.68,4.3,5.22,C,F,116,Aeronautics and Aviation Science,0.0
5.98,4.19,6.83,8.35,5.58,D,Male,241,Environmental Science and Health,0.0
6.31,4.27,6.7,3.93,4.99,A,F,241,Engineering,0.0
4.12,4.05,6.74,3.75,8.88,D,F,165,Economics,4759.3
3.22,6.79,3.53,7.39,4.79,B,M,165,Economics,0.0
3.84,7.53,7.72,5.74,4.89,D,M,165,Engineering,12842.37
8.21,5.81,4.31,8.84,4.29,D,Male,115,Economics,2485.74
7.61,7.43,6.07,7.38,6.55,A,Female,115,Environmental Science and Health,5101.24
4.0,5.92,4.13,4.61,4.37,B,Female,116,Economics,0.0
6.98,7.94,5.77,4.78,9.45,B,Female,116,Aeronautics and Aviation Science,0.0
3.88,5.05,6.69,5.58,6.56,E,F,115,Environmental Science and Health,14114.85
7.26,4.36,7.02,7.34,4.47,D,F,165,Engineering,12656.83
8.61,7.65,3.7,8.47,8.91,D,Female,115,Aeronautics and Aviation Science,0.0
5.72,5.94,8.18,5.24,7.8,A,F,115,Environmental Science and Health,0.0
6.35,4.04,6.54,5.69,8.23,D,Male,115,Economics,0.0
6.24,7.92,3.77,6.17,4.45,D,Female,165,Economics,0.0
6.08,8.23,7.84,4.45,7.05,D,F,165,Environmental Science and Health,0.0
8.46,5.71,5.26,8.62,8.72,C,F,241,Economics,0.0
8.35,6.27,3.86,8.53,8.87,A,Male,241,Art,0.0
3.26,3.87,6.06,8.16,8.46,D,Male,115,Art,0.0
6.07,6.1,7.09,5.35,6.13,C,F,116,Public Relations and Administration,0.0
